,subj_idx,a,t,v_Intercept,v_M,v_S,z_Intercept,z_X
0,1,1.8753511911547665,0.7332351644399921,-0.49873789401872787,0.16306896954466196,-0.01738099961885936,0.566668059169655,0.05736292924498579
1,10,1.8924274797162828,0.6648111173493825,-0.5140786901086122,0.1293694928574821,-0.2243739776313703,0.5802967321995272,0.0901318553556949
2,11,1.8469840685793055,0.6601104608124284,-0.504989092040296,0.15073345753093592,-0.4587996774206429,0.5894601355030543,0.1730298944486103
3,12,1.944330518688367,0.5720850787720201,-0.5167969303041372,0.17090095509145806,-0.6759125574438957,0.696834504407848,0.033172991619805504
4,13,1.888345213556305,0.6289807054341422,-0.5122068468612575,0.1561459744855715,0.2576655615397484,0.5463394037929181,0.19848711665372143
5,14,2.017725222647289,0.6923083853692681,-0.5013399079498438,0.13434148093360712,0.6373916662763388,0.4755951484380234,0.07867355148937806
6,15,1.924567128295781,0.5766227522942285,-0.5013248255647571,0.16338381813690614,-0.1770777498010299,0.493860688932932,0.1493430516738705
7,16,1.9354920584886832,0.5511071890864395,-0.5110052051227539,0.14685438125163086,0.8193601982965537,0.6717628132071598,0.09839436880286537
8,17,1.9367234205610875,0.5354127633657193,-0.5070432030648161,0.13822768142158803,-0.09569202333779875,0.6011000309346167,0.2013686299992079
9,18,1.9448323385918087,0.5632094667691029,-0.5019216847217127,0.146316786170103,-0.21149332395349335,0.4710065343307883,0.025632319535333487
10,19,1.810021819046862,0.7036809498901,-0.5120732884401877,0.14376498557201614,0.18845844038698673,0.6619062624791647,-0.012770768309562919
11,2,1.875072739481245,0.681877946075417,-0.5000701476100561,0.15551824542866544,-0.8624698897884587,0.5708731832053253,0.08662957926887872
12,20,1.9122247547680173,0.6957837679682226,-0.5171462665673481,0.11952335040649947,-0.03486912396056824,0.5545035934966316,0.12241594366375211
13,3,1.90305835416404,0.6395690202445239,-0.499204947223555,0.14839516894828736,0.23345984414023957,0.6472144865040405,0.09514611411626205
14,4,1.9889858046910316,0.6199621573419467,-0.5043139761374136,0.12620588245614917,0.12637232279786914,0.44237629519958455,0.08846157762035081
15,5,1.9216832409267555,0.50864376297014,-0.5076489634999027,0.142817720617947,-0.7537749679271128,0.5645244534406002,0.16233503782735267
16,6,1.8839910230148609,0.6046133708187915,-0.5186831673240747,0.1428293559068735,0.10741937679379215,0.5286586246374977,0.195765160391335
17,7,2.044841787803181,0.6738867742461149,-0.5022295101798956,0.1297710187779042,-0.6107296160657942,0.520185131214687,0.009613735470859641
18,8,1.949700696032237,0.7000252230138096,-0.5026554758370797,0.14874836901139316,-0.6704811283909311,0.5353861861758534,0.1311253456056126
19,9,1.8635135968535608,0.5715899449665659,-0.5117497859734249,0.1440993031783588,0.5030497575086227,0.5440369312019937,0.12474680105883142
