"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"35","direct",":=","c","direct",0.0567360849284456,0.0880156302880992,0.644613743521836,0.519177526285068,-0.115771380512822,0.229243550369713,0.0567360849284456,0.0550805040116525,0.0550610870919321,2
"36","total",":=","c+(a*b)","total",0.166763170892941,0.0605222817492725,2.75540125178684,0.00586201965318822,0.048141678402181,0.285384663383701,0.166763170892941,0.161896957023893,0.161839885283649,2
"37","M","~","X","a",1.01024255267371,0.0457141993886547,22.0990975710804,0,0.920644368289859,1.09984073705755,1.01024255267371,0.704926962007715,0.70532850575738,3
"38","response","~","M","b",0.0185882507331299,0.0572033370201401,0.324950460959741,0.745218565105819,-0.0935282296218514,0.130704731088111,0.0185882507331299,0.0248851687162566,0.0248851687162566,3
"39","response","~","X","c",-0.063406514548762,0.0834397444754063,-0.759907822673773,0.447309685323618,-0.226945408599783,0.100132379502259,-0.063406514548762,-0.0592317293230525,-0.0592654691740915,3
"40","response","~","S","s0",-0.752805669157239,0.121747627963433,-6.18332925043387,6.27636165262402e-10,-0.99142663516875,-0.514184703145728,-0.752805669157239,-0.35214715927033,-0.703640335650507,3
"41","response","|","t1","",-1.62759192090685,0.201272668192304,-8.08650243237095,6.66133814775094e-16,-2.02207910163605,-1.23310474017766,-1.62759192090685,-1.52129476762714,-1.52129476762714,3
"42","M","~~","M","",1.03205715672624,0.0706107121583114,14.6161556112383,0,0.89366270397322,1.17045160947925,1.03205715672624,0.503077978234573,0.503077978234573,3
"43","response","~~","response","",0.999643400447625,0,NA,NA,0.999643400447625,0.999643400447625,0.999643400447625,0.873334859256753,0.873334859256753,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
"45","X","~~","S","",0.0103567134268537,0,NA,NA,0.0103567134268537,0.0103567134268537,0.0103567134268537,0.020705981017101,0.0103567134268537,3
"46","S","~~","S","",0.250464929859719,0,NA,NA,0.250464929859719,0.250464929859719,0.250464929859719,1,0.250464929859719,3
"47","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,3
"48","M","~1","","",0.031879236470875,0.145243215325923,0.219488644611306,0.826269424509025,-0.252792234566731,0.316550707508481,0.031879236470875,0.0222573620218024,0.0222573620218024,3
"49","response","~1","","",0,0,NA,NA,0,0,0,0,0,3
"50","X","~1","","",-0.056,0,NA,NA,-0.056,-0.056,-0.056,-0.0560318989784661,-0.056,3
"51","S","~1","","",1.506,0,NA,NA,1.506,1.506,1.506,3.00920316292026,1.506,3
"52","indirect",":=","a*b","indirect",0.0187786418703761,0.0577945899922778,0.324920409901431,0.745241309415891,-0.0944966730157474,0.132053956756499,0.0187786418703761,0.0175422263822002,0.0175522188661576,3
