"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"18","total",":=","c+(a*b)","total",-0.232024347505602,0.225926522121091,-1.02699030342813,0.30442503000902,-0.674832194015332,0.210783499004128,-0.232024347505602,-0.0852134376414541,-0.0851963659318484,1
"19","M","~","X","a",1.0521549730641,0.0454355562226669,23.1570835824652,0,0.963102919250125,1.14120702687807,1.0521549730641,0.722044195861791,0.721789661622551,2
"20","response","~","M","b",0.986405551251003,0.0337009688148633,29.2693529574724,0,0.920352866129764,1.05245823637224,0.986405551251003,0.938021425830598,0.938021425830598,2
"21","response","~","X","c",-0.820619104582573,0.0911772381561199,-9.00026279779886,0,-0.999323207578399,-0.641915001586747,-0.820619104582573,-0.535528937660814,-0.535340153578731,2
"22","response","~","S","s0",-2.27952817976015,0.146018527769521,-15.611225606645,0,-2.56571923526397,-1.99333712425632,-2.27952817976015,-0.743114697649852,-1.48707598814749,2
"23","response","|","t1","",-3.37532529132353,0.265955582389175,-12.6913120642243,0,-3.89658865429369,-2.85406192835337,-3.37532529132353,-2.2019316266765,-2.2019316266765,2
"24","M","~~","M","",1.01708711035607,0.0708512610060437,14.355243589374,0,0.878221190524976,1.15595303018716,1.01708711035607,0.478652179222299,0.478652179222299,2
"25","response","~~","response","",0.0103783999447374,0,NA,NA,0.0103783999447374,0.0103783999447374,0.0103783999447374,0.00441679044160914,0.00441679044160914,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922816977216097,0.143236637204902,0.644260431705049,0.519406569355204,-0.188456952466628,0.373020347909847,0.0922816977216097,0.0633062401239797,0.0633062401239797,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",1.03785150620678,0.0543619944984921,19.0914905860484,0,0.931303954861966,1.14439905755158,1.03785150620678,0.677292926114985,0.67705416754497,2
"35","direct",":=","c","direct",-0.820619104582573,0.0911772381561199,-9.00026279779886,0,-0.999323207578399,-0.641915001586747,-0.820619104582573,-0.535528937660814,-0.535340153578731,2
"36","total",":=","c+(a*b)","total",0.217232401624202,0.0730221161403771,2.97488504998399,0.00293098355991783,0.0741116839141623,0.360353119334242,0.217232401624202,0.141763988454171,0.141714013966239,2
"37","M","~","X","a",1.01024255487095,0.0457141993886547,22.0990976191453,0,0.920644370487108,1.0998407392548,1.01024255487095,0.70492696306574,0.705328506816008,3
"38","response","~","M","b",0.0143497735815895,0.0715922525007323,0.200437520546552,0.841138417676896,-0.125968462891943,0.154668010055122,0.0143497735815895,0.0127761599055057,0.0127761599055057,3
"39","response","~","X","c",-0.0553534253914069,0.105270984079486,-0.525818447271393,0.599014356071026,-0.261680762804289,0.150973912021475,-0.0553534253914069,-0.0343888976998912,-0.0344084864625198,3
"40","response","~","S","s0",-2.51493575393167,0.171767763690632,-14.6414886000453,0,-2.85159438447029,-2.17827712339304,-2.51493575393167,-0.782386639932992,-1.56332028652916,3
"41","response","|","t1","",-4.26018925596687,0.308209820071886,-13.822367032216,0,-4.86426940298934,-3.6561091089444,-4.26018925596687,-2.64819499977077,-2.64819499977077,3
"42","M","~~","M","",1.03205715505747,0.0706107121583114,14.616155587605,0,0.893662702304459,1.17045160781049,1.03205715505747,0.503077976742912,0.503077976742912,3
"43","response","~~","response","",0.999787482916957,0,NA,NA,0.999787482916957,0.999787482916957,0.999787482916957,0.386322348104075,0.386322348104075,3
"44","X","~~","X","",0.998861723446894,0,NA,NA,0.998861723446894,0.998861723446894,0.998861723446894,1,0.998861723446894,3
"45","X","~~","S","",0.0103567134268537,0,NA,NA,0.0103567134268537,0.0103567134268537,0.0103567134268537,0.020705981017101,0.0103567134268537,3
"46","S","~~","S","",0.250464929859719,0,NA,NA,0.250464929859719,0.250464929859719,0.250464929859719,1,0.250464929859719,3
"47","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,3
"48","M","~1","","",0.0318795886963688,0.145243215325922,0.219491069684955,0.826267535631702,-0.252791882341234,0.316551059733972,0.0318795886963688,0.0222576079226741,0.0222576079226741,3
"49","response","~1","","",0,0,NA,NA,0,0,0,0,0,3
"50","X","~1","","",-0.056,0,NA,NA,-0.056,-0.056,-0.056,-0.0560318989784661,-0.056,3
"51","S","~1","","",1.506,0,NA,NA,1.506,1.506,1.506,3.00920316292026,1.506,3
"52","indirect",":=","a*b","indirect",0.0144967519248847,0.0723300363341508,0.20042506073013,0.841148161475832,-0.127267514290524,0.156261018140294,0.0144967519248847,0.00900625960183038,0.00901138978899285,3
"53","direct",":=","c","direct",-0.0553534253914069,0.105270984079486,-0.525818447271393,0.599014356071026,-0.261680762804289,0.150973912021475,-0.0553534253914069,-0.0343888976998912,-0.0344084864625198,3
"54","total",":=","c+(a*b)","total",-0.0408566734665223,0.0764579318299108,-0.534368017662478,0.593086941805394,-0.190711466185566,0.108998119252521,-0.0408566734665223,-0.0253826380980609,-0.025397096673527,3
"55","M","~","X","a",0.979156649658544,0.0435565658548093,22.4801159237955,0,0.893787349292871,1.06452595002422,0.979156649658544,0.711682237734677,0.710992951438023,4
"56","response","~","M","b",0.255520014773932,0.254535724153324,1.00386700383171,0.315442722778281,-0.243360837345405,0.754400866893269,0.255520014773932,0.0669393831360227,0.0669393831360227,4
"57","response","~","X","c",1.98683667520733,0.350171968291404,5.67388841802991,1.39592075676376e-08,1.30051222896068,2.67316112145399,1.98683667520733,0.378314423347326,0.37794801410734,4
"58","response","~","S","s0",9.28705345863214,0.115775096098517,80.2163312456198,0,9.06013843997238,9.51396847729189,9.28705345863214,0.882611208239521,1.76663912811678,4
"59","response","|","t1","",13.917629137183,0.113935086950402,122.154022169146,0,13.6943204701847,14.1409378041812,13.917629137183,2.64749506545717,2.64749506545717,4
"60","M","~~","M","",0.935983746668205,0.0587196180561385,15.9398813829709,0,0.820895410092226,1.05107208324418,0.935983746668205,0.493508392492963,0.493508392492963,4
"61","response","~~","response","",0.938889173826535,0,NA,NA,0.938889173826535,0.938889173826535,0.938889173826535,0.0339745826589036,0.0339745826589036,4
"62","X","~~","X","",1.00193987975952,0,NA,NA,1.00193987975952,1.00193987975952,1.00193987975952,1,1.00193987975952,4
"63","X","~~","S","",0.00224448897795591,0,NA,NA,0.00224448897795591,0.00224448897795591,0.00224448897795591,0.00448822946396572,0.00224448897795591,4
"64","S","~~","S","",0.249599198396794,0,NA,NA,0.249599198396794,0.249599198396794,0.249599198396794,1,0.249599198396794,4
"65","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,4
"66","M","~1","","",0.0470625125587675,0.139718465519869,0.336838172274909,0.736238895553836,-0.226780647835377,0.320905672952912,0.0470625125587675,0.0341734029155762,0.0341734029155762,4
"67","response","~1","","",0,0,NA,NA,0,0,0,0,0,4
"68","X","~1","","",-0.008,0,NA,NA,-0.008,-0.008,-0.008,-0.00799225175214323,-0.008,4
"69","S","~1","","",1.53,0,NA,NA,1.53,1.53,1.53,3.0624558591433,1.53,4
"70","indirect",":=","a*b","indirect",0.250194121586745,0.24896292406845,1.00494530469909,0.314923187562176,-0.237764243073198,0.738152486246688,0.250194121586745,0.0476395699828235,0.0475934295833213,4
"71","direct",":=","c","direct",1.98683667520733,0.350171968291404,5.67388841802991,1.39592075676376e-08,1.30051222896068,2.67316112145399,1.98683667520733,0.378314423347326,0.37794801410734,4
"72","total",":=","c+(a*b)","total",2.23703079679408,0.246266239392689,9.08378997588447,0,1.75435783697629,2.71970375661187,2.23703079679408,0.425953993330149,0.425541443690661,4
"73","M","~","X","a",0.995268292903419,0.0454762596334659,21.8854475043722,0,0.906136461870233,1.0844001239366,0.995268292903419,0.700228626238819,0.699617603933019,5
"74","response","~","M","b",0.936731703184273,0.0318899271565383,29.3739053898158,0,0.874228594487852,0.999234811880694,0.936731703184273,0.568722407266462,0.568722407266462,5
"75","response","~","X","c",-0.877210635347339,0.154726599879518,-5.66942358993477,1.43278731101759e-08,-1.18046919856153,-0.573952072133144,-0.877210635347339,-0.374704321334242,-0.374377352841616,5
