,subj_idx,v_Intercept,v_M,v_S,v_X,z_Intercept,a_path
0,1,1.1941151383121584,0.12446165271050949,0.3801382972050332,0.02509717120535912,0.5435308817283686,0.636724490578779
1,10,1.2012541663514211,0.11779024637007811,-0.6077625177743837,-0.12806825526600418,0.5138941550110444,0.6424925913465076
2,11,0.10985446826894238,-0.08099547254261832,-0.1463141191577683,-0.2641654661889853,0.5008866866548515,0.20913407380287152
3,12,-0.00905771202348421,-0.005837520100205079,0.07919873070373878,-0.20519880229131499,0.5430021245937253,0.4750238828532399
4,13,0.32783227580158125,-0.034378197267623575,-0.20170697686692782,0.0066064298318603,0.5896342335100969,-0.6830229091805666
5,14,0.4092500716321106,0.08132344673491476,0.022576671530842946,-0.2564669213948713,0.5640724421253142,-1.2290267217689714
6,15,-1.1022834825757994,0.2216658559736501,0.035212313025956093,-0.1698757658503735,0.5309012158333702,-2.2106051583348916
7,16,1.8180618085151072,0.19835119222666095,0.09324636406198827,-0.14115949272240771,0.5288256035212373,2.210170715353927
8,17,-0.17861167437886744,-0.08567584525588703,-0.4577220937031488,-0.21825547523875416,0.511936839280557,-0.33284944249852677
9,18,-0.05918875203498719,0.0652441998329295,-0.34715208597861746,-0.22279968191132143,0.5298973678342603,-0.7669741229167618
10,19,-0.16779193713042645,0.055985244167027985,-0.9016852389396048,-0.08556571696111961,0.4910450872109714,-0.022129798240295
11,2,-0.3870881233705839,-0.07105955452463972,-0.6936770406535193,-0.07296649917293375,0.5607776030819447,-1.9916174565462808
12,20,0.1450358737977767,0.00583733763200428,-0.7200852479940828,-0.1733138092739744,0.5856455505362467,-0.7367068350774505
13,21,0.42231708823290354,0.02069139209027146,-0.3642059689369813,-0.09339700492909812,0.5674171159090646,-0.7027863304752117
14,22,0.5102915062931785,0.13050804096858032,-0.199508792433807,-0.11526707285585737,0.5129481133369957,-0.13572704100753316
15,23,0.290312203762156,0.14296714709580086,-0.5465344458022999,-0.2201054984829624,0.4700601114288343,-0.7998435256664695
16,24,0.36458315144186637,0.020635303336518043,-0.04556391666151274,-0.2854829391903769,0.5467033588171507,-0.29140164981058003
17,25,0.875054011681466,0.011575651440521445,0.08190222427215871,-0.11215864529094569,0.4758579289111599,-1.0555072447672145
18,26,-0.43743449642245663,-0.08789674875492132,-0.06848784991609422,-0.18111461919942137,0.5443001101575022,0.058396979424979775
19,27,-0.13137482690281627,0.19358037994821628,-0.4379886600406496,-0.32511235143292483,0.5765874136422882,0.7671354857039906
20,28,-0.9028389142078774,0.15487190305326784,-0.19141206227414287,-0.16671015161771321,0.48187054928334055,0.8741030075618152
21,29,-0.8397062754657709,0.0773316197377116,-0.27655452530861624,-0.27930928481801504,0.5382735234181175,-0.7039875606187472
22,3,0.35353546240374334,0.14263422977783508,0.1879739846606041,-0.05377943513773917,0.5148053097275894,0.794735265231592
23,30,0.07368881869992444,-0.14131200420348866,0.030297077131332256,-0.0931771945915883,0.6239646877753755,0.16564064345965795
24,4,-0.09130344547378694,0.12134589546836529,0.11444543208422303,-0.06809987039846918,0.5678301910208665,-0.9237208122084576
25,5,0.33244048914907004,0.15229821412998007,0.40996817058077106,-0.1105319855389358,0.5069906789753943,-0.7031370904894243
26,6,0.62593862786153,0.14645648619964347,-0.11498475203047706,0.020971132605228343,0.5459656566690053,-0.21159267377675364
27,7,-0.5854200076916951,0.0742304460846813,-0.005052130906376323,-0.09125272947867541,0.5651494847802401,1.411461357836405
28,8,0.20623986952529075,0.34020072471529006,-0.2492094903370393,-0.19013757849841206,0.5171833874049205,-0.5260336115817414
29,9,-0.3679135512192712,-0.07592580695290294,-0.13309272858809762,-0.30964049700376034,0.5140618858359431,-0.22774811077518406
