"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","subj_idx"
"19","M","~","X","a",1.05215496964915,0.045435556222667,23.1570835073051,0,0.963102915835181,1.14120702346313,1.05215496964915,0.72204419250693,0.721789658268872,2
"20","response","~","M","b",0.131549248050797,0.10012778354133,1.31381364290859,0.188908925319635,-0.0646976015420315,0.327796097643625,0.131549248050797,0.16516294008381,0.16516294008381,2
"21","response","~","X","c",0.0583753895274184,0.166275184360116,0.351076979719294,0.725530597631364,-0.267517983341167,0.384268762396004,0.0583753895274184,0.0502965382756141,0.0502788077943225,2
"22","response","~","S","s0",-1.10889896894852,0.38679673255361,-2.86687780847483,0.00414543032641879,-1.86700663409137,-0.350791303805671,-1.10889896894852,-0.477276278038185,-0.955096292709066,2
"23","response","|","t1","",0.490224622796136,0.435724091125642,1.12508037260391,0.260554977657907,-0.36377890300657,1.34422814859884,0.490224622796136,0.422231179700039,0.422231179700039,2
"24","M","~~","M","",1.01708712349981,0.0708512610060437,14.3552437748857,0,0.878221203668714,1.1559530433309,1.01708712349981,0.478652184067015,0.478652184067015,2
"25","response","~~","response","",0.982399099168008,0,NA,NA,0.982399099168008,0.982399099168008,0.982399099168008,0.728783136543614,0.728783136543614,2
"26","X","~~","X","",1.00070541082164,0,NA,NA,1.00070541082164,1.00070541082164,1.00070541082164,1,1.00070541082164,2
"27","X","~~","S","",-0.00500200400801603,0,NA,NA,-0.00500200400801603,-0.00500200400801603,-0.00500200400801603,-0.0100061779343226,-0.00500200400801603,2
"28","S","~~","S","",0.249715430861723,0,NA,NA,0.249715430861723,0.249715430861723,0.249715430861723,1,0.249715430861723,2
"29","response","~*~","response","",1,0,NA,NA,1,1,1,1,1,2
"30","M","~1","","",0.0922817664858989,0.143236637204902,0.644260911779774,0.519406258099582,-0.188456883702339,0.373020416674137,0.0922817664858989,0.0633062872083526,0.0633062872083526,2
"31","response","~1","","",0,0,NA,NA,0,0,0,0,0,2
"32","X","~1","","",0.036,0,NA,NA,0.036,0.036,0.036,0.0359873093189237,0.036,2
"33","S","~1","","",1.472,0,NA,NA,1.472,1.472,1.472,2.94567697486793,1.472,2
"34","indirect",":=","a*b","indirect",0.138410195090255,0.105501541768834,1.31192580477665,0.189545169809024,-0.068369027090108,0.345189417270618,0.138410195090255,0.119254941704885,0.119212902081775,2
"35","direct",":=","c","direct",0.0583753895274184,0.166275184360116,0.351076979719294,0.725530597631364,-0.267517983341167,0.384268762396004,0.0583753895274184,0.0502965382756141,0.0502788077943225,2
"36","total",":=","c+(a*b)","total",0.196785584617674,0.127503414550472,1.54337501714337,0.122739811670564,-0.0531165158071321,0.446687685042479,0.196785584617674,0.169551479980499,0.169491709876098,2
"37","M","~","X","a",1.01024255264226,0.0457141993886547,22.0990975703924,0,0.92064436825841,1.0998407370261,1.01024255264226,0.704926962145539,0.705328505895283,3
"38","response","~","M","b",-0.979024646117122,0.0328527781859552,-29.8003608880683,0,-1.04341490815368,-0.914634384080567,-0.979024646117122,-0.46410091475015,-0.46410091475015,3
